trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'e': 0.0979487063904197, 'a': 0.5}",25,20,8.858454315158447,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'e': 0.0959897322626113, 'a': 0.5}",35,17,25.51956302253885,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.09406993761735907, 'a': 0.5}",30,0,-4.174861052772649,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
118,False,"{'e': 0.0921885388650119, 'a': 0.5}",20,13,-8.980745921635446,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'e': 0.09034476808771166, 'a': 0.5}",25,2,34.6688212908098,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'e': 0.08853787272595742, 'a': 0.5}",25,15,3.2703310486544677,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'e': 0.08676711527143827, 'a': 0.5}",20,0,-55.39726228933532,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
122,False,"{'e': 0.0850317729660095, 'a': 0.5}",35,5,52.9916094016581,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'e': 0.08333113750668932, 'a': 0.5}",35,18,14.16698498071584,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'e': 0.08166451475655553, 'a': 0.5}",20,9,15.486312523919263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'e': 0.08003122446142442, 'a': 0.5}",25,5,3.8601231995326133,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
126,False,"{'e': 0.07843059997219594, 'a': 0.5}",30,22,18.086010700729563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.07686198797275202, 'a': 0.5}",35,16,32.55489920178842,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.07532474821329699, 'a': 0.5}",20,12,11.94057939497303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'e': 0.07381825324903105, 'a': 0.5}",25,8,-66.1727098122247,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
130,False,"{'e': 0.07234188818405042, 'a': 0.5}",25,8,33.766653264146015,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'e': 0.07089505042036941, 'a': 0.5}",20,10,19.326682756084764,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'e': 0.06947714941196202, 'a': 0.5}",25,15,11.005193264614356,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.06808760642372277, 'a': 0.5}",20,12,12.268019136223092,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.06672585429524831, 'a': 0.5}",25,16,19.992993490329553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'e': 0.06539133720934334, 'a': 0.5}",20,6,-0.5144336247218775,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'e': 0.06408351046515648, 'a': 0.5}",25,12,23.019892568573617,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.06280184025585335, 'a': 0.5}",20,7,11.862227837170364,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'e': 0.061545803450736285, 'a': 0.5}",30,15,26.258159730729805,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.060314887381721555, 'a': 0.5}",25,15,19.318921376787102,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'e': 0.05910858963408712, 'a': 0.5}",30,24,10.036794998710745,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'e': 0.05792641784140538, 'a': 0.5}",20,9,20.275496650528396,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.05676788948457727, 'a': 0.5}",30,19,21.996356733424726,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'e': 0.055632531694885724, 'a': 0.5}",20,6,25.905636643602165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.054519881060988006, 'a': 0.5}",25,7,22.21870399064089,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'e': 0.05342948343976824, 'a': 0.5}",25,9,27.414727036793202,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.052360893770972874, 'a': 0.5}",20,10,21.54477579145449,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'e': 0.05131367589555342, 'a': 0.5}",30,17,24.525311345148218,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.05028740237764235, 'a': 0.5}",30,19,21.355302077716104,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'e': 0.0492816543300895, 'a': 0.5}",20,13,9.94268379068817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",25,15,19.622570587659364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0.0, 'a': 0.0}",25,17,15.272436708519784,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0.0, 'a': 0.0}",25,14,17.663537230988666,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",30,23,13.376336911863671,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",20,12,18.465978266114714,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0.0, 'a': 0.0}",25,14,20.201376932580974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",20,6,21.618184102012744,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",20,10,17.066997954240655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",20,12,13.451499791814033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0.0, 'a': 0.0}",30,18,22.74926832669547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
